Timestamp,Sensor 1 (mm),Sensor 2 (mm)
2025-07-12 18:31:15.473,135.0,166.6015625
2025-07-12 18:31:15.507,135.0,166.6015625
2025-07-12 18:31:15.541,135.0,166.4794921875
2025-07-12 18:31:15.575,135.0,166.2109375
2025-07-12 18:31:15.609,135.0,166.1865234375
2025-07-12 18:31:15.644,135.0,166.2841796875
2025-07-12 18:31:15.677,135.0,166.650390625
2025-07-12 18:31:15.711,135.0,166.796875
2025-07-12 18:31:15.745,135.0,166.845703125
2025-07-12 18:31:15.779,135.0,166.8701171875
2025-07-12 18:31:15.813,135.0,166.8701171875
2025-07-12 18:31:15.847,135.0,166.1376953125
2025-07-12 18:31:15.881,135.0,165.91796875
2025-07-12 18:31:15.915,135.0,165.91796875
2025-07-12 18:31:15.949,135.0,166.064453125
2025-07-12 18:31:15.983,135.0,166.6259765625
2025-07-12 18:31:16.017,135.0,166.845703125
2025-07-12 18:31:16.051,135.0,166.845703125
2025-07-12 18:31:16.085,135.0,166.650390625
2025-07-12 18:31:16.118,135.0,166.357421875
2025-07-12 18:31:16.152,135.0,166.064453125
2025-07-12 18:31:16.187,135.0,166.015625
2025-07-12 18:31:16.221,135.0,166.2353515625
2025-07-12 18:31:16.256,135.0,166.8212890625
2025-07-12 18:31:16.289,135.0,167.1142578125
2025-07-12 18:31:16.323,135.0,167.1142578125
2025-07-12 18:31:16.357,135.0,167.041015625
2025-07-12 18:31:16.392,135.0,166.8701171875
2025-07-12 18:31:16.426,135.0,166.650390625
2025-07-12 18:31:16.460,135.0,166.552734375
2025-07-12 18:31:16.494,135.0,166.5771484375
2025-07-12 18:31:16.528,135.0,166.6015625
2025-07-12 18:31:16.563,135.0,166.6748046875
2025-07-12 18:31:16.597,135.0,166.6748046875
2025-07-12 18:31:16.631,135.0,166.748046875
2025-07-12 18:31:16.665,135.0,166.748046875
2025-07-12 18:31:16.699,135.0,166.6015625
2025-07-12 18:31:16.733,135.0,166.5771484375
2025-07-12 18:31:16.767,135.0,166.6015625
2025-07-12 18:31:16.801,135.0,166.7236328125
2025-07-12 18:31:16.835,135.0,167.1142578125
2025-07-12 18:31:16.869,135.0,167.1142578125
2025-07-12 18:31:16.904,135.0,166.9189453125
2025-07-12 18:31:16.938,135.0,166.796875
2025-07-12 18:31:16.972,135.0,166.7236328125
2025-07-12 18:31:17.006,135.0,166.6259765625
2025-07-12 18:31:17.040,135.0,166.6015625
2025-07-12 18:31:17.074,135.0,166.6015625
2025-07-12 18:31:17.108,135.0,166.5771484375
2025-07-12 18:31:17.143,135.0,166.552734375
2025-07-12 18:31:17.176,135.0,166.552734375
2025-07-12 18:31:17.210,135.0,166.455078125
2025-07-12 18:31:17.244,135.0,166.455078125
2025-07-12 18:31:17.278,135.0,166.4794921875
2025-07-12 18:31:17.312,135.0,166.4794921875
2025-07-12 18:31:17.346,135.0,166.50390625
2025-07-12 18:31:17.379,135.0,166.5771484375
2025-07-12 18:31:17.414,135.0,166.6259765625
2025-07-12 18:31:17.447,135.0,166.748046875
2025-07-12 18:31:17.481,135.0,166.7724609375
2025-07-12 18:31:17.516,135.0,166.50390625
2025-07-12 18:31:17.550,135.0,166.455078125
2025-07-12 18:31:17.584,135.0,166.455078125
2025-07-12 18:31:17.618,135.0,166.552734375
2025-07-12 18:31:17.652,135.0,166.552734375
2025-07-12 18:31:17.687,135.0,166.552734375
2025-07-12 18:31:17.720,135.0,166.5283203125
2025-07-12 18:31:17.755,135.0,166.5283203125
2025-07-12 18:31:17.789,135.0,166.5283203125
2025-07-12 18:31:17.823,135.0,166.5771484375
2025-07-12 18:31:17.858,135.0,166.6748046875
2025-07-12 18:31:17.892,135.0,166.8212890625
2025-07-12 18:31:17.926,135.0,166.8701171875
2025-07-12 18:31:17.960,135.0,166.8701171875
2025-07-12 18:31:17.994,135.0,166.7724609375
2025-07-12 18:31:18.028,135.0,166.7236328125
2025-07-12 18:31:18.063,135.0,166.69921875
2025-07-12 18:31:18.097,135.0,166.5283203125
